ID,KeyWord,Answer
1,ritg0jk,พระเจ้า คือผู้ทรงสร้างกัลปจักรวาลครับ
1,พระเจ้า,พระเจ้ายิ่งใหญ่ คุณเชื่อไหมครับ?
1,พระเจ่า,พระเจ้ายังอยู่เคียงข้างคุณเสมอ พระองค์พร้อมที่จะช่วยเราเสมอ ลองฟังคลิปนี้ดูนะครับ https://youtu.be/8AqRh6axyXM
1,,คุณรู้ไหมครับ? พระเจ้าทรงรักคุณ นะครับ
1,,พระเจ้ามีจริงครับ ลองฟังคลิปนี้ดูนะครับ https://youtu.be/BeJ_3R7cHdk
2,คริสตจักร,คริสตจักรเป็นสถานนมัสการพระเจ้าครับ
2,โบสถ์,คริสตจักรเป็นเหมือนตัวแทนของพระเจ้าบนโลกนี้ครับ
2,คริสจักร,ปกติคริสเตียนจะไปนมัสการพระเจ้าที่คริสตจักรในวันอาทิตย์ครับ
2,คจ,คริสตจักรที่ผมไปร่วม คือ คริสตจักรสามัคีธรรมเชียงใหม่ครับ
2,คจ.,คริสตจักรมีหลายแห่งในประเทศไทย ลอง ค้นใน Google ดูก็ได้ครับ
3,ขอบคุณ,ด้วยความยินดีครับ
3,ขอบคุณมาก,ยินเสมอครับ
3,,เต็มใจอย่างครับ
3,,ครับผม
3,,ด้วยความยินดีครับ
4,คริสต์,ครับ พระเยซูคริสต์ทรงรักคุณ
4,พระคริสต์,จริงๆนะครับ พระเยซูช่วยคุณได้
4,,พระองค์ทรงพร้อมให้คุณเริ่มต้นชีวิตใหม่ได้ครับ
4,,พระเยซูทรงเป็นพระเจ้า
4,,พระเยซูมาเพื่อช่วยเรา
5,เชื่อ,ถ้าเจ้าเชื่อ เจ้าจะได้เห็นความยิ่งใหญ่ของพระเจ้า
5,วางใจ,ความเชื่อ คือ ความแน่ใจในสิ่งที่เราหวังไว้ เป็นความรู้สึกมั่นใจว่า สิ่งที่ยังไม่เห็นนั้นมีจริง ครับ  อยากเชิญให้คุณลองฟังคลิปนี้ดูนะครับ https://youtu.be/B4__bGZ3b0A
5,,วางภาระไว้กับพระเจ้า เพราพระองค์ทรงห่วงใยท่าน
5,,คนที่วางใจในพระเจ้า จะปลอดภัยครับ
5,,ลองอธิษฐาน อย่างจริงใจ ด้วยความเชื่อดูสิครับ
6,กลัว,"พระเจ้าตรัสว่า ""อย่ากลัวเลยเพราะเราอยู่กับเจ้า"""
6,กังวล,ความกลัวไม่ได้มาจากพระเจ้า จงเชื่อเท่านั้นเถิด พระเจ้าไว้ใจได้
6,สับสน,ขอหนุนใจ ด้วยคลิปนี้นะครับ https://youtu.be/4o5WK5tmyL4
6,,ความทุกข์หาง่าย ความสุขหายาก ลองฟังนี่ดูนะครับ https://youtu.be/oNtO4b09fXU
6,,ขอเป็นกำลังใจให้นะครับ ลองฟังนี่ดูสักหน่อยดีไหมครับ https://youtu.be/8RLu4BTS8KE
7,ปฐก,ผมก็เคยเทศนา ใน ปฐมกาล ครับ คลิปนี้ไงครับ https://youtu.be/3cDo-9n-cKI
7,ปฐก.,ลองอ่าน สรุป ปฐมกาลหน่อยไหมครับ อ่านได้ที่นี่ครับ https://bit.ly/2wS4OBV
7,,ปฐมกาล เป็นหนังสือเล่มแรกในพระคัมภีร์ครับ อยากลองศึกษาดูไหมครับ? อ่านได้ที่นี่ครับ https://bit.ly/2wS4OBV
7,,ศึกษาปฐมกาล เพิ่มขึ้นได้ที่นี่ครับ https://youtu.be/VzXpE3WNMkc
7,,อยากรู้เพิ่มเติม ศึกษาได้จากที่นี่ครับ https://youtu.be/bJAVIPlTfTs
8,อพยพ,ผมก็เคยเทศนา ในพระธรรมอพยพ ครับ คลิปนี้ครับ https://youtu.be/3cDo-9n-cKI
8,,ผมมีเขียน สรุป อพยพไว้ครับ อ่านได้ที่นี่ครับ https://bit.ly/2LIAzRW
8,,เป็นหนังสือเล่มที่ 2 ในพระคัมภีร์ครับ  อ่านได้ที่นี่ครับ https://bit.ly/2LIAzRW
8,,ลองฟังนี่ดูนะครับ https://youtu.be/qBNyj4FVyRM
8,,สนใจศึกษาเพิ่มเติม เชิญทางนี้ครับ https://www.youtube.com/playlist?list=PLaCGMfK5N21hDhv0GmmGPeGEwnnSJ3_VU
9,อยาก,ศึกษา พระคัมภีร์ ผ่าน youtube ได้ที่นี่นะครับ www.youtube.com/DrKerMinistry
9,ต้องการ,ลองศึกษาพระคัมภีรื เพิ่มเติมที่นี่ดีไหมครับ? www.DrKerMinistry.com
9,ปรารถนา,ผู้หิวกระหายพระคำของพระเจ้า จะพบของดีครับ อยากศึกษาพระคัมภัร์ตอนไหน ก็ลองพิมพ์ชื่อ พระคัมภีร์ส่งมาได้นะครับ
9,,สนใจอยาก รู้และเข้าใจ เรื่องของพระเจ้ามากขึ้น เชิญทางนี้นะครับ www.DrKerMinistry.com
9,,ความปรารถนาของคนมีหลายอย่าง แต่ใครปรารถนาจะพบกับพระเจ้า จะได้พบของดีครับ
10,พระเยซูคือใคร,พระเยซูทรงเป็นพระบุตรของพระเจ้า ผู้มาบังเกิดในโลกนี้ เพื่อช่วยมนุษย์ให้รอดพ้นจากบาปครับ
10,พระเยซู,พระเยซูทรงเป็นพระเจ้า เป็นพระผู้ช่วยให้รอดพ้นบาปของเรา
10,,พระเยซู เป็นผู้เสด็จมารับโทษบาปแทนเราครับ
10,,พระเยซูทรงเป็นพระเจ้า ผู้ทรงรักเรา
10,,พระเยซู เป็นผู้จะเสด็จมาพิพากษาโลก ในเร็วๆนี้
11,เลือก,แล้วแต่จะเลือกครับ และถ้าอยากศึกษาพระคัมภัร์ตอนไหน ก็ลองพิมพ์ชื่อ พระคัมภีร์ส่งมาได้นะครับ
11,อะไร,ทำได้หลายอย่าง คงต้องเลือกเองนะครับ ผต่ถ้าเลือกอยากจะศึกษาพระคัมภีร์ เชิญที่นี่ได้นะครับ www.DrKerMinistry.com
11,,ทำในสิ่งที่อยากทำ แต่ก็ให้รู้นะครับ ไม่ใช่ทุกสิ่งที่ทำจะเป้นประโยชน์
11,,ผมสามารถแนะนำ ช่องทางการศึกษาพระคัมภีร์ให้คุณได้นะครับ ลองพิมพ์ชื่อ พระคัมภีร์ เข้ามาสิครับ
11,,ผมสามารถแนะนำ คลิปดีๆให้คุณได้นะครับ ลองพิมพ์ ประเด็นที่อยากรู้ เข้ามาสิครับ
12,พิมพ์,ลองพิมพ์ว่า ปฐมกาล  หรือพิมพ์ว่า อพยพ  หรือชื่อพระคัมภีรืเล่มต่างๆดูสิครับ
12,พิม,พิมพ์ เล่าความรู้สึกให้ฟังก็ได้นะครับ เช่น เบื่อ เซง เครียด เบื่อ ฯลฯ
12,เขียน,ลองพิมพ์อะไรมาก็ได้ครับ ค่อยๆคุยกันไป ผมยังคุยไม่เก่ง
12,,พิมพ์ คำถามที่อยากรู้มาได้เลยครับ ถ้าผมทราบจะตอบให้นะครับ
12,,พิมพ์ เล่าความรู้สึกให้ฟังก็ได้นะครับ เช่น เหนื่อย เบื่อ เครียด ฯลฯ
13,สวัสดี,สวัสดีครับ มีอะไรให้รับใช้ไหมครับ? ตอนนี้คุณรู้สึกอย่างไรบ้างครับ?
13,หวัดดี,สวัสดีครับ มีอะไรให้ช่วยไหมครับ? ตอนนี้คุณรู้สึกอย่างไรบ้างครับ?
13,ดีครับ,สวัสดีครับ คุณสามารถ พิมพ์ชื่อพระคัมภีร์ เพื่อ ดูรายละเอียดการศึกษาพระคัมภีร์เล่มนั้นๆได้นะครับ
13,Hello,สวัสดีครับ วันของคุณวันนี้เป็นอย่างไรบ้างครับ
13,ฮัลโล,สวัสดีครับ อยากรู้เรื่องเกี่ยวกับคริเตียนอะไรเป็นพิเศษไหมครับ ลองพิมพ์ถามมาดูได้นะครับ
14,คริสเตียน,อยาก เชิญให้ฟังคลิป ชุดนี้ดู ครับ https://www.youtube.com/playlist?list=PLaCGMfK5N21i51BI0X1YmupSKJdGkfHyO
14,รับเชื่อ,สนใจอยาก รู้และเข้าใจ เรื่องของพระเจ้ามากขึ้น เชิญทางนี้นะครับ www.DrKerMinistry.com
14,เป็นคริสเตียน,ลองฟังนี่ดูนะครับ https://www.youtube.com/playlist?list=PLaCGMfK5N21i9z_10Kcy06EI-Zc6WGfuG
14,,ผู้ที่แสวงหาพระเจ้า อย่างจริงใจ จะได้พบกับพระองค์ครับ ศึกษาเพิ่มเติมได้ที่นี่นะครับ www.DrKerMinistry.com
14,,เคยอธิษฐานต้อนรับเชื่อพระเยซูคริสต์หรือยังครับ ถ้ายังและอยากจะต้อนรับพระเยซูเข้ามาเป็นพระเจ้าในชีวิต เชิญทางนี้ได้เลยครับ https://youtu.be/rE2DOn0F7Lk
